Sample#,Planet_Mass,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Dust_gap_1,Gas_gap_1,Dust_depth_1,Gas_depth_1,Dust_gap_2,Dust_depth_2,#_DG,#_GG,
80,865,0.000141,0.0673,0.00133,0.0214,0.0754,0.713,0.066,0,1.38E-06,0,0,0,1,0
81,866,0.000106,0.0244,0.00987,0.0911,0.033,0.978,0.705,0,1.62E-14,0,0,0,1,0
82,867,7.96E-05,0.0426,0.00887,0.0775,0.0992,0.667,0,0,0,0,0,0,0,0
83,868,0.000289,0.059,0.0094,0.0129,0.028,0.826,0.726,0.287,1.33E-10,8.48E-06,0,0,1,1
84,869,0.000346,0.073,0.00895,0.0901,0.0427,1.17,0.796,0.291,1.45E-21,2.74E-05,0,0,1,1
85,1000,0.000332,0.0603,0.0034,0.0223,0.0455,0.659,0.82,0.328,1.20E-15,1.70E-05,0,0,1,1
86,1001,6.36E-05,0.06,0.00618,0.056,0.0985,1.29,0,0,0,0,0,0,0,0
87,1002,0.000329,0.0501,0.00165,0.0481,0.097,1.39,0,0,0,0,0,0,0,0
88,1003,0.000312,0.0936,0.0016,0.0249,0.0582,1.11,0.886,0.365,3.36E-18,2.19E-05,0,0,1,1
89,1004,0.00033,0.0694,0.00512,0.0826,0.0697,0.795,0.738,0,7.42E-08,0,0.029,2.68E-06,2,0
90,1005,0.000307,0.0458,0.00208,0.0124,0.0601,0.679,0.837,0.299,6.26E-12,3.23E-05,0,0,1,1
91,1006,0.000294,0.0937,0.000112,0.0999,0.0663,0.652,0.111,0.623,1.37E-07,7.06E-06,0.837,1.80E-20,2,1
92,1007,0.000253,0.0817,0.000838,0.0637,0.0912,1.42,0.923,0.226,3.03E-07,3.57E-05,0,0,1,1
93,1008,4.40E-05,0.0332,0.00646,0.0545,0.0566,0.865,0,0,0,0,0,0,0,0
94,1009,0.000272,0.083,0.00786,0.0376,0.0667,0.568,0.697,0,1.59E-08,0,0,0,1,0
95,1010,0.000191,0.01,0.00703,0.0696,0.0519,0.519,0.734,0,2.24E-16,0,0,0,1,0
96,1011,0.000341,0.0163,0.00434,0.0356,0.0798,0.76,0.115,0,1.12E-07,0,0,0,1,0
97,1012,4.49E-05,0.0652,0.00303,0.0705,0.0493,0.63,0.025,0,2.82E-06,0,0,0,1,0
98,1013,0.000349,0.0218,0.009,0.0227,0.0942,1.18,0.057,0,5.66E-07,0,0,0,1,0
99,1014,0.0003,0.0831,0.0063,0.091,0.084,1.25,0.053,0,3.41E-06,0,0,0,1,0
100,1015,0.000118,0.0247,0.000459,0.00954,0.0738,0.896,0.755,0,2.09E-07,0,0,0,1,0
101,1016,2.61E-05,0.0874,0.0075,0.0836,0.0315,0.748,0.623,0,1.04E-07,0,0,0,1,0
102,1017,0.000297,0.0703,0.00656,0.0862,0.083,1.12,0.057,0,2.74E-06,0,0,0,1,0
103,1018,0.000358,0.0818,0.00514,0.0604,0.0628,0.782,0.816,0.287,1.93E-20,3.88E-05,0,0,1,1
104,1019,7.57E-05,0.0917,0.00613,0.0622,0.0588,1.46,0,0,0,0,0,0,0,0
105,1020,2.81E-05,0.08,0.00641,0.0932,0.0782,1.4,0,0,0,0,0,0,0,0
106,1021,0.000151,0.0905,0.00445,0.0418,0.0608,1.12,0.693,0,5.45E-08,0,0,0,1,0
107,1022,0.000304,0.0932,0.00352,0.00434,0.0568,0.905,0.738,0.258,1.62E-08,3.69E-05,0,0,1,1
108,1023,2.47E-05,0.0676,0.00948,0.0867,0.0332,1.17,0.049,0,9.01E-07,0,0,0,1,0
109,1024,3.11E-05,0.077,0.00302,0.0113,0.0927,1.17,0,0,0,0,0,0,0,0
110,50,0.000156,0.0651,0.00188,0.0739,0.056,1.47,0.824,0.258,2.64E-26,3.86E-05,0,0,1,1
111,51,2.83E-05,0.0294,0.00394,0.0887,0.0947,1.07,0,0,0,0,0,0,0,0
112,52,9.25E-05,0.0289,0.00833,0.0717,0.0403,0.815,0.689,0,1.46E-12,0,0,0,1,0
113,53,0.000212,0.0172,0.00751,0.0938,0.077,1.34,0,0,0,0,0,0,0,0
114,54,0.000337,0.0165,0.00156,0.0901,0.044,1.5,0.931,0.386,6.31E-53,6.05E-06,0,0,1,1
115,55,0.000246,0.0802,0.00022,0.0522,0.0876,1.44,0.857,0.574,3.10E-16,2.72E-05,0,0,1,1
116,56,0.00036,0.0541,0.00286,0.0802,0.0414,0.829,0.894,0.394,6.18E-35,7.25E-06,0,0,1,1
117,57,5.63E-05,0.0151,0.00832,0.0172,0.0327,0.56,0.644,0,7.80E-09,0,0,0,1,0
118,58,0.000148,0.049,0.00684,0.00946,0.0988,0.9,0,0,0,0,0,0,0,0
119,59,7.12E-05,0.0207,0.00499,0.0675,0.09,0.54,0,0,0,0,0,0,0,0
120,60,0.000177,0.0371,0.00992,0.0122,0.0643,0.649,0.09,0,7.04E-07,0,0,0,1,0
121,61,0.000338,0.0583,0.00876,0.0764,0.0312,0.771,0.796,0.324,4.36E-21,8.66E-06,0,0,1,1
122,62,0.000248,0.0467,0.00401,0.0293,0.0407,1.1,0.792,0.275,3.18E-16,2.09E-05,0,0,1,1
123,63,6.08E-05,0.0158,0.00873,0.0909,0.0865,0.871,0,0,0,0,0,0,0,0
124,64,0.000322,0.038,0.00917,0.0384,0.0383,1.25,0.763,0.275,7.52E-14,2.48E-05,0,0,1,1
125,65,0.000157,0.0328,0.00121,0.0793,0.0504,0.602,0.853,0.275,4.82E-38,2.91E-05,0,0,1,1
126,66,9.39E-05,0.0622,0.00464,0.0842,0.0948,1.21,0,0,0,0,0,0,0,0
127,67,0.000175,0.0787,0.00745,0.0228,0.0812,1.32,0.029,0,3.40E-06,0,0,0,1,0
128,68,0.000344,0.0701,0.00645,0.0198,0.0868,0.675,0.107,0,6.07E-07,0,0,0,1,0
129,69,0.00018,0.0283,0.00463,0.0958,0.0664,0.833,0.066,0,8.94E-07,0,0,0,1,0
130,70,0.000121,0.0895,0.0071,0.0241,0.0502,1.12,0.652,0,5.71E-08,0,0,0,1,0
131,71,0.000279,0.0526,0.00485,0.0378,0.0728,1.06,0.71,0,3.06E-08,0,0,0,1,0
132,72,0.000301,0.0375,0.0089,0.0097,0.083,1.3,0.07,0,1.22E-06,0,0,0,1,0
133,73,0.000294,0.0249,0.00768,0.092,0.0655,1.01,0.73,0,7.19E-09,0,0,0,1,0
134,74,0.000293,0.0545,0.00568,0.0974,0.0475,1.06,0.816,0.291,2.31E-28,2.97E-05,0,0,1,1
135,650,0.000253,0.0521,0.00908,0.0931,0.0584,1.25,0.718,0,1.05E-09,0,0,0,1,0
136,651,0.000289,0.0103,0.000302,0.00343,0.0928,1.35,0.939,0,3.21E-11,0,0,0,1,0
137,652,8.71E-05,0.0812,0.00213,0.0442,0.0793,1.21,0,0,0,0,0,0,0,0
138,653,0.000105,0.0613,0.0058,0.0814,0.0562,0.525,0.07,0,1.07E-06,0,0,0,1,0
139,654,6.28E-05,0.0293,0.00242,0.0769,0.0858,0.841,0,0,0,0,0,0,0,0
140,655,0.000161,0.0607,0.00411,0.0749,0.0492,0.627,0.779,0.144,6.27E-21,4.60E-05,0,0,1,1
141,656,0.000198,0.0891,0.00237,0.0603,0.0951,0.574,0,0,0,0,0,0,0,0
142,657,0.000341,0.0739,0.00998,0.0536,0.0765,1.23,0.127,0,5.10E-07,0,0,0,1,0
