,Planet_Mass,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Dust_gap_1,Gas_gap_1,Dust_depth_1,Gas_depth_1,Dust_gap_2,Dust_depth_2,#_DG,#_GG
103,93.66666667,0.0356,0.00471,0.0289,0.0587,0.918,0.73,0.016,3.11E-13,4.81E-05,0,0,1,1
104,16.06666667,0.0985,0.00611,0.019,0.0357,0.552,0.644,0,6.58E-08,0,0,0,1,0
105,24.3,0.0397,0.00619,0.0421,0.053,0.727,0.053,0,5.34E-07,0,0,0,1,0
106,116,0.0901,0.00122,0.0036,0.0259,1.16,0.615,0.455,4.64E-10,2.04E-08,0,0,1,1
107,78.33333333,0.0993,0.00679,0.064,0.0697,1.44,0.673,0,2.74E-07,0,0,0,1,0
108,97.33333333,0.0361,0.0033,0.0375,0.0521,0.705,0.824,0.287,3.35E-19,2.97E-05,0,0,1,1
109,38.33333333,0.0511,0.00864,0.00459,0.0293,1.15,0.435,0.148,1.04E-07,4.05E-05,0,0,1,1
110,28.2,0.015,0.00285,0.0643,0.0512,0.712,0.71,0,2.11E-11,0,0,0,1,0
111,90.33333333,0.0142,0.00924,0.00847,0.026,1.45,0.587,0.287,2.77E-10,6.41E-06,0,0,1,1
112,106.3333333,0.0479,0.00812,0.0614,0.0332,1.06,0.783,0.304,6.66E-19,1.26E-05,0,0,1,1
113,31.36666667,0.0939,0.00222,0.032,0.0325,0.58,0.751,0.193,5.11E-18,2.46E-05,0,0,1,1
114,24.46666667,0.0992,0.00542,0.0743,0.0293,0.864,0.718,0.135,3.63E-18,4.11E-05,0,0,1,1
115,94.66666667,0.0484,0.0036,0.0159,0.0342,0.645,0.792,0.32,2.46E-13,6.77E-06,0,0,1,1
116,112.6666667,0.0655,0.00308,0.0598,0.0555,0.72,0.886,0.353,5.79E-27,2.47E-05,0,0,1,1
117,58.66666667,0.0527,0.00811,0.00838,0.0329,1.45,0.632,0.197,9.81E-09,3.22E-05,0,0,1,1
118,81.33333333,0.0214,0.0083,0.0424,0.0746,0.657,0.086,0,2.16E-07,0,0,0,1,0
119,104.3333333,0.0415,0.00467,0.0523,0.076,1.14,0.722,0,2.47E-08,0,0,0,1,0
120,109,0.0474,0.00962,0.0487,0.0687,1.02,0.693,0,1.65E-08,0,0,0,1,0
121,103.3333333,0.0814,0.00335,0.0721,0.0391,0.845,0.861,0.369,6.25E-29,8.74E-06,0,0,1,1
122,99,0.0271,0.00892,0.0552,0.0623,1.42,0.718,0,1.18E-11,0,0,0,1,0
